latitude|longitude|name
48.565392|12.739303|Simbach, bayern, germany
49.170502|11.24567|Jahrsdorf, bayern, germany
47.794926|12.533549|Mamling, bayern, germany
48.036572|12.02233|Haging, bayern, germany
48.312889|12.48732|Kinning, bayern, germany
49.63055|10.73628|Linden, bayern, germany
48.917194|11.407995|Postmünster Seepegel, bayern, germany
48.419485|12.904865|Postmünster, bayern, germany
48.446861|13.08563|Birnbach, bayern, germany
48.438099|13.33631|Ruhstorf, bayern, germany
48.433331|12.56667|Panzing, bayern, germany
48.405613|12.048883|Kirchberg, bayern, germany
48.917194|11.407995|Eggenfelden Seepegel, bayern, germany
48.402381|12.76292|Eggenfelden, bayern, germany
48.419485|12.904865|Postmünster, bayern, germany
48.394956|13.005287|Triftern, bayern, germany
48.917194|11.407995|Erlachleiten, bayern, germany
48.917194|11.407995|Rannasäge, bayern, germany
47.546108|9.68397|Lindau, bayern, germany
47.8396|11.9587|Mainz, bayern, germany
47.556622|9.69017|Aeschach, bayern, germany
47.554211|10.022749|Oberstaufen, bayern, germany
47.650002|9.96667|Zwirkenberg, bayern, germany
47.636799|10.09212|Seltmans, bayern, germany
50.099895|11.375625|Mainleus, bayern, germany
50.167439|11.15099|Schwürbitz, bayern, germany
50.146418|11.063667|Lichtenfels, bayern, germany
49.952984|10.873965|Kemmern, bayern, germany
49.928612|10.75051|Trunstadt, bayern, germany
49.928617|10.75051|Trunstadt Q, bayern, germany
47.592459|10.633538|Schweinfurt Neuer Hafen, bayern, germany
49.862389|10.2148|Astheim, bayern, germany
49.792775|9.936395|Würzburg, bayern, germany
50.43269|11.36094|Steinbach, bayern, germany
48.917194|11.407995|Wertheim, bayern, germany
49.784092|9.440923|Faulbach, bayern, germany
49.478273|11.975989|Freudenberg, bayern, germany
49.720381|9.215675|Kleinheubach, bayern, germany
49.9328|9.13592|Obernau, bayern, germany
48.917194|11.407995|Mainflingen, bayern, germany
47.794926|12.533549|Krotzenburg, bayern, germany
48.917194|11.407995|Frankfurt a.M. Osthafen, bayern, germany
48.917194|11.407995|Raunheim, bayern, germany
50.091675|11.528455|Ködnitz, bayern, germany
50.041927|11.67474|Bad Berneck, bayern, germany
49.57518|12.09254|Neudorf, bayern, germany
50.068729|11.550526|Trebgast, bayern, germany
50.10699|11.60672|Wirsberg, bayern, germany
50.118591|11.50487|Kauerndorf, bayern, germany
50.119202|11.6134|Adlerhütte, bayern, germany
48.917194|11.407995|Oberhammer, bayern, germany
50.134506|11.527697|Untersteinach, bayern, germany
49.845485|11.623699|Creußen, bayern, germany
49.725658|11.26687|Schlehenmühle, bayern, germany
49.945189|11.571023|Bayreuth, bayern, germany
50.07555|11.431|Unterzettlitz, bayern, germany
49.89616|11.66165|Gampelmühle, bayern, germany
49.869308|11.69566|Birk, bayern, germany
50.134506|11.527697|Untersteinach, bayern, germany
50.08405|11.238625|Weismain, bayern, germany
48.917194|11.407995|Streitmühle, bayern, germany
48.917194|11.407995|Rieblich, bayern, germany
48.917194|11.407995|Erlabrück, bayern, germany
50.182369|11.22585|Unterlangenstadt, bayern, germany
50.329521|11.55709|Langenau, bayern, germany
48.917194|11.407995|Mauthaus Seepegel, bayern, germany
48.917194|11.407995|Mauthaus Kleines Meßwehr, bayern, germany
48.917194|11.407995|Mauthaus Großes Meßwehr, bayern, germany
50.322201|11.4929|Mauthaus, bayern, germany
50.322201|11.4929|Mauthaus, bayern, germany
48.917194|11.407995|Bernstein a.W., bayern, germany
50.267595|11.473162|Wallenfels, bayern, germany
50.324329|11.28549|Neukenroth, bayern, germany
50.370491|11.30091|Friedersdorf, bayern, germany
49.276421|12.18103|Steinberg, bayern, germany
50.278118|11.16008|Fürth am Berg, bayern, germany
48.917194|11.407995|Almerswind, bayern, germany
48.917194|11.407995|Schönstädt Seepegel, bayern, germany
50.34412|11.02787|Schönstädt, bayern, germany
50.263202|10.966202|Coburg, bayern, germany
48.585678|11.37474|Schenkenau, bayern, germany
48.917194|11.407995|Almerswind, bayern, germany
50.279765|11.947435|Döhlau, bayern, germany
50.302841|11.05809|Mönchröden, bayern, germany
48.975078|12.755231|Neukirchen, bayern, germany
50.313011|10.97615|Oberlauter, bayern, germany
50.29744|10.92004|Kösfeld, bayern, germany
48.917194|11.407995|Goldbergsee Seepegel, bayern, germany
48.917194|11.407995|Goldbergsee Ablauf, bayern, germany
49.488159|10.7426|Heinersdorf, bayern, germany
50.240829|10.78523|Autenhausen, bayern, germany
50.127134|10.855133|Untermerzbach, bayern, germany
49.994881|9.57237|Lohr, bayern, germany
50.006401|10.8392|Leucherhof, bayern, germany
50.145234|10.738051|Pfarrweisach, bayern, germany
49.54134|10.96137|Hüttendorf, bayern, germany
49.83123|10.926825|Pettstadt, bayern, germany
49.89178|10.89334|Bamberg, bayern, germany
48.90114|12.62437|Roth Kläranlage, bayern, germany
49.350182|11.05808|Katzwang, bayern, germany
49.043269|12.54364|Neumühle, bayern, germany
49.402611|10.46377|Mitteldachstetten (neu), bayern, germany
49.366852|10.49158|Oberheßbach, bayern, germany
49.300686|10.572037|Ansbach, bayern, germany
48.90114|12.62437|Wernfels Kläranlage, bayern, germany
49.300686|10.572037|Ansbach, bayern, germany
49.120491|11.00271|Seemannsmühle, bayern, germany
49.152401|11.01047|Mühlstetten, bayern, germany
49.055241|10.9972|Weiboldshausen, bayern, germany
48.917194|11.407995|Brombachsee Vorsperre, bayern, germany
48.917194|11.407995|Brombachsee Hauptsperre, bayern, germany
48.917194|11.407995|Brombachsee Hauptsperre Ablauf, bayern, germany
48.014118|10.201294|Roth Bleiche, bayern, germany
48.917194|11.407995|Rothsee Hauptsperre, bayern, germany
48.917194|11.407995|Rothsee Hauptsperre Ablauf, bayern, germany
49.239182|11.05586|Rothaurach, bayern, germany
49.114059|11.64923|Rasch, bayern, germany
49.355957|11.140837|Wendelstein, bayern, germany
49.329105|11.022695|Schwabach, bayern, germany
49.394939|10.7346|Lentersdorf, bayern, germany
49.424709|10.89828|Weinzierlein, bayern, germany
49.357755|10.697279|Bruckberg, bayern, germany
49.697418|10.17796|Michelfeld, bayern, germany
48.917194|11.407995|Fischstein HW, bayern, germany
49.60619|11.51368|Güntersthal, bayern, germany
48.497231|13.3116|Hohenstadt, bayern, germany
49.5117|11.27881|Lauf, bayern, germany
48.917194|11.407995|Nürnberg Lederersteg, bayern, germany
49.756415|11.543386|Pegnitz, bayern, germany
49.503509|11.510683|Pommelsbrunn, bayern, germany
48.532682|10.799256|Schnaittach Markt, bayern, germany
49.48243|11.23872|Röthenbach, bayern, germany
49.481595|10.89191|Hiltmannsdorf HW, bayern, germany
50.18745|10.54979|Stöckach, bayern, germany
49.495121|10.75617|Laubendorf, bayern, germany
49.509418|10.90156|Kreppendorf, bayern, germany
48.917194|11.407995|Frauenkreuz, bayern, germany
49.551298|10.717224|Emskirchen, bayern, germany
49.569408|10.96093|Frauenaurach, bayern, germany
49.591141|11.21957|Büg, bayern, germany
49.59795|11.00258|Erlangen, bayern, germany
49.93685|11.290877|Hollfeld, bayern, germany
49.780548|11.33409|Behringersmühle, bayern, germany
